Timestamp (ms),EMG Value
0,860
2,931
4,931
6,931
8,931
10,932
12,931
14,931
16,931
18,931
20,931
22,931
24,932
26,932
28,931
30,931
32,931
34,931
36,931
38,931
40,931
42,931
44,931
46,931
48,931
50,931
52,932
54,931
56,932
58,931
61,931
63,931
65,931
67,931
69,932
71,931
73,932
75,931
77,931
79,931
81,931
83,931
85,931
87,931
89,931
91,931
93,932
95,931
97,931
99,931
101,931
103,931
105,931
107,931
109,931
111,931
113,931
115,931
117,931
119,931
121,931
123,931
125,931
127,931
129,931
131,931
133,931
135,931
137,931
139,931
141,931
143,931
146,931
148,931
150,931
152,931
154,931
156,931
158,931
160,931
162,931
164,931
166,931
168,931
170,931
172,930
174,897
176,857
178,819
180,783
182,749
184,715
186,683
189,653
191,623
193,597
195,614
197,885
199,913
201,930
203,930
205,930
207,914
209,894
211,871
213,843
215,815
217,785
219,753
221,724
223,694
225,663
227,634
229,607
231,758
233,860
235,879
237,879
239,873
241,858
243,838
245,814
247,787
249,759
251,732
253,706
255,678
257,649
259,620
261,727
263,723
265,718
267,704
269,687
271,666
274,643
276,619
278,599
280,575
282,549
284,527
286,505
288,485
290,465
292,445
294,426
296,408
298,390
300,373
302,360
304,344
306,330
308,316
310,305
312,293
314,280
317,268
319,257
321,247
323,237
325,228
327,219
329,210
331,202
333,193
335,186
337,179
339,172
341,165
343,158
345,152
347,148
349,142
351,137
353,133
355,128
357,123
359,121
361,116
363,112
365,108
367,104
369,100
371,98
373,95
375,93
377,91
379,89
381,86
383,83
385,83
387,80
389,77
391,74
393,73
395,70
397,68
399,65
402,65
404,64
406,62
408,60
410,59
412,57
414,55
416,53
418,52
420,51
422,50
424,49
426,47
428,46
430,45
432,46
434,48
436,52
438,52
440,53
442,52
445,50
447,48
449,47
451,46
453,146
455,175
457,326
459,362
461,385
463,400
465,407
467,410
469,415
471,415
473,399
475,381
477,365
479,351
481,339
483,325
485,312
487,305
489,294
491,283
493,272
495,262
497,252
499,241
501,231
503,221
505,212
507,204
509,200
511,195
513,187
515,180
517,173
519,167
521,161
523,154
525,148
527,142
530,136
532,130
534,125
536,120
538,116
540,113
542,112
544,108
546,105
548,103
550,105
552,105
554,101
556,97
558,94
560,90
562,87
564,84
566,80
568,78
570,75
573,75
575,72
577,69
579,67
581,65
583,63
585,61
587,59
589,59
591,60
593,62
595,62
597,60
599,59
601,59
603,57
605,55
607,53
609,52
611,51
613,51
615,50
617,50
619,50
621,55
623,60
625,62
627,60
629,63
631,63
633,62
635,61
637,59
639,61
641,66
643,71
645,75
647,75
649,73
651,74
653,78
655,80
658,78
660,75
662,72
664,71
666,75
668,75
670,77
672,82
674,85
676,83
678,80
680,79
682,80
684,80
686,81
688,80
690,78
692,75
694,73
696,70
698,68
701,65
703,63
705,61
707,59
709,59
711,57
713,56
715,55
717,54
719,53
721,52
723,51
725,50
727,48
729,49
731,47
733,47
735,48
737,50
739,50
741,49
743,49
745,48
747,46
749,45
751,44
753,42
755,41
757,40
759,39
761,38
763,38
765,37
767,36
769,37
771,37
773,38
775,38
777,36
779,36
781,35
783,35
786,35
788,35
790,35
792,36
794,37
796,38
798,39
800,38
802,37
804,39
806,46
808,48
810,47
812,45
814,47
816,56
818,60
820,59
822,59
824,63
826,62
829,61
831,62
833,62
835,60
837,59
839,58
841,56
843,55
845,54
847,52
849,52
851,52
853,50
855,49
857,48
859,51
861,50
863,49
865,49
867,48
869,47
871,46
873,46
875,48
877,51
879,51
881,51
883,49
885,48
887,47
889,48
891,51
893,49
895,48
