Timestamp (ms),EMG Value,
0,270,
2,270,
4,269,
6,267,
8,260,
10,254,
12,247,
14,240,
16,234,
18,230,
20,221,
22,214,
24,205,
26,196,
28,188,
30,180,
32,174,
34,167,
36,160,
38,153,
40,150,
42,147,
44,142,
46,138,
48,134,
50,129,
52,123,
54,119,
56,114,
58,110,
61,105,
63,101,
65,97,
67,94,
69,90,
71,87,
73,83,
75,80,
77,77,
79,75,
81,72,
83,69,
85,67,
87,66,
89,64,
91,62,
93,61,
95,60,
97,58,
99,56,
101,54,
103,53,
105,51,
107,50,
109,48,
111,47,
113,45,
115,44,
117,42,
119,41,
121,40,
123,39,
125,38,
127,37,
129,36,
131,35,
133,34,
135,34,
137,33,
139,32,
141,32,
143,31,
146,30,
148,30,
150,29,
152,28,
154,28,
156,27,
158,27,
160,26,
162,26,
164,25,
166,25,
168,25,
170,25,
172,24,
174,26,
176,26,
178,27,
180,28,
182,27,
184,27,
186,26,
189,26,
191,26,
193,25,
195,24,
197,24,
199,24,
201,23,
203,24,
205,24,
207,23,
209,23,
211,23,
213,22,
215,22,
217,22,
219,21,
221,22,
223,21,
225,21,
227,21,
229,21,
231,20,
233,20,
235,20,
237,20,
239,20,
241,20,
243,20,
245,20,
247,19,
249,19,
251,23,
253,25,
255,24,
257,25,
259,27,
261,28,
263,27,
265,27,
267,26,
269,26,
271,27,
274,28,
276,28,
278,27,
280,27,
282,26,
284,160,
286,181,
288,196,
290,205,
292,209,
294,210,
296,209,
298,205,
300,202,
302,200,
304,194,
306,186,
308,178,
310,171,
312,165,
314,159,
317,153,
319,147,
321,143,
323,137,
325,132,
327,126,
329,121,
331,117,
333,112,
335,108,
337,104,
339,101,
341,97,
343,94,
345,90,
347,87,
349,84,
351,82,
353,81,
355,78,
357,76,
359,75,
361,72,
363,70,
365,68,
367,66,
369,64,
371,63,
373,61,
375,59,
377,57,
379,57,
381,58,
383,57,
385,55,
387,54,
389,52,
391,51,
393,50,
395,50,
397,49,
399,47,
402,47,
404,46,
406,46,
408,44,
410,44,
412,42,
414,41,
416,55,
418,54,
420,53,
422,53,
424,52,
426,51,
428,51,
430,53,
432,52,
434,51,
436,49,
438,48,
440,46,
442,45,
445,44,
447,43,
449,42,
451,41,
453,40,
455,39,
457,38,
459,39,
461,41,
463,43,
465,43,
467,45,
469,44,
471,43,
473,42,
475,41,
477,45,
479,46,
481,44,
483,43,
485,44,
487,43,
489,42,
491,41,
493,40,
495,39,
497,38,
499,38,
501,38,
503,38,
505,38,
507,40,
509,39,
511,38,
513,37,
515,36,
517,35,
519,34,
521,33,
523,32,
525,32,
527,31,
530,32,
532,33,
534,33,
536,34,
538,34,
540,33,
542,35,
544,189,
546,230,
548,254,
550,271,
552,283,
554,286,
556,282,
558,276,
560,272,
562,265,
564,255,
566,246,
568,238,
570,228,
573,221,
575,213,
577,206,
579,198,
581,191,
