Timestamp (ms),EMG Value
0,35
2,34
4,34
6,33
8,32
10,32
12,32
14,31
16,33
18,35
20,36
22,36
24,40
26,39
28,39
30,39
32,38
34,38
36,39
38,40
40,38
42,40
44,41
46,42
48,42
50,42
52,43
54,46
56,48
58,52
61,52
63,51
65,54
67,56
69,61
71,63
73,62
75,66
77,67
79,65
81,70
83,68
85,66
87,73
89,74
91,75
93,73
95,72
97,69
99,67
101,65
103,64
105,62
107,63
109,67
111,65
113,64
115,63
117,62
119,65
121,65
123,65
125,70
127,75
129,75
131,74
133,83
135,85
137,82
139,80
141,78
143,76
146,73
148,71
150,70
152,70
154,71
156,73
158,75
160,75
162,78
164,76
166,74
168,75
170,76
172,74
174,71
176,70
178,69
180,67
182,70
184,69
186,67
189,65
191,64
193,62
195,62
197,62
199,63
201,63
203,62
205,62
207,65
209,66
211,67
213,71
215,73
217,73
219,72
221,72
223,72
225,76
227,75
229,73
231,73
233,75
235,77
237,77
239,77
241,78
243,82
245,81
247,84
249,81
251,84
253,89
255,94
257,98
259,98
261,95
263,97
265,94
267,92
269,99
271,105
274,112
276,116
278,126
280,124
282,120
284,117
286,115
288,112
290,109
292,105
294,102
296,100
298,102
300,103
302,114
304,115
306,113
308,112
310,111
312,112
314,114
317,114
319,111
321,109
323,114
325,115
327,121
329,128
331,129
333,129
335,129
337,126
339,123
341,121
343,117
345,113
347,115
349,114
351,111
353,111
355,108
357,104
359,102
361,100
363,97
365,96
367,96
369,95
371,92
373,89
375,87
377,88
379,85
381,82
383,83
385,83
387,81
389,79
391,79
393,79
395,90
397,94
399,94
402,99
404,97
406,94
408,92
410,91
412,95
414,97
416,95
418,94
420,93
422,94
424,90
426,87
428,84
430,82
432,80
434,81
436,81
438,83
440,83
442,87
445,87
447,87
449,84
451,83
453,80
455,78
457,75
459,73
461,71
463,69
465,67
467,68
469,69
471,67
473,66
475,64
477,62
479,62
481,61
483,64
485,66
487,65
489,68
491,79
493,94
495,96
497,97
499,109
501,113
503,112
505,118
507,120
509,119
511,129
513,140
515,139
517,147
519,151
521,146
523,146
525,146
527,158
530,163
532,161
534,180
536,210
538,222
540,216
542,216
544,222
546,227
548,221
550,215
552,230
554,249
556,257
558,252
560,251
562,262
564,280
566,291
568,284
570,320
573,375
575,378
577,395
579,447
581,487
583,480
585,496
587,497
589,493
591,503
593,489
595,491
597,497
599,481
601,468
603,492
605,541
607,544
609,584
611,649
613,661
615,648
617,633
619,645
621,649
623,634
625,643
627,649
629,646
631,622
633,608
635,598
637,578
639,558
641,559
643,570
645,593
647,616
649,604
651,635
653,657
655,649
658,668
660,675
662,660
664,632
666,622
668,639
670,690
672,733
674,720
676,731
678,751
680,737
682,722
684,720
686,700
688,669
690,644
692,642
694,693
696,758
698,751
701,788
703,821
705,812
707,781
709,777
711,762
713,762
715,771
717,750
719,751
721,741
723,725
725,735
727,721
729,761
731,789
733,772
735,795
737,816
739,792
741,774
743,757
745,734
747,706
749,688
751,681
753,692
755,699
757,694
759,731
761,743
763,727
765,707
767,717
769,735
771,756
773,747
775,753
777,835
779,901
781,887
783,863
786,837
788,806
790,788
792,794
794,851
796,931
798,931
800,931
802,931
804,931
806,931
808,931
810,931
812,931
814,931
816,931
818,931
820,931
822,931
824,931
826,931
829,931
831,931
833,931
835,931
837,931
839,931
841,931
843,931
845,931
847,931
849,931
851,931
853,931
855,931
857,931
859,931
861,931
863,931
865,931
867,931
869,931
871,931
873,931
875,931
877,931
879,923
881,897
883,926
885,931
887,931
889,931
891,920
893,909
895,925
897,902
899,921
901,916
903,930
905,931
907,931
909,931
911,931
914,931
916,931
918,931
920,931
922,931
924,931
926,931
928,931
930,931
932,931
934,931
936,931
938,931
940,931
942,931
944,931
946,931
948,931
950,931
952,931
954,931
957,931
959,931
961,931
963,931
965,931
967,931
969,931
971,931
973,931
975,931
977,931
979,931
981,931
983,931
985,931
987,931
989,931
991,931
993,931
995,931
997,931
999,931
1001,931
1003,931
1005,931
1007,931
1009,931
1011,931
1013,931
1015,931
1017,931
1019,931
1021,931
1023,931
1025,931
1027,931
1029,931
1031,931
1033,931
1035,931
1037,931
1039,931
1042,931
1044,931
1046,931
1048,931
1050,931
1052,931
1054,931
1056,931
1058,931
1060,931
1062,931
1064,931
1066,931
1068,931
1070,931
1072,931
1074,931
1076,931
1078,931
1080,931
1082,931
1085,931
1087,931
1089,931
1091,931
1093,931
1095,931
1097,931
1099,931
1101,931
1103,931
1105,931
1107,931
1109,931
1111,931
1113,931
1115,931
1117,931
1119,931
1121,931
1123,931
1125,931
1127,931
1129,931
1131,931
1133,931
1135,931
1137,931
1139,931
1141,931
1143,931
1145,931
1147,931
1149,931
1151,931
1153,931
1155,931
1157,931
1159,931
1161,931
1163,931
1165,931
1167,932
1170,931
1172,931
1174,931
1176,931
